BGS Database Search Results

yyyy-mm-dd, hh:mm:ss.ss, lat, lon, depth, ML, Nsta, RMS, intensity, locality
2022-02-16, 07:51:42.7, 57.538, -5.636,   5.2,  0.8,   4,  0.2,      , SHIELDAIG,HIGHLAND      
2022-02-18, 02:40:22.8, 55.537, -5.032,   7.9,  0.6,   8,  0.2,      , ARRAN,NORTH AYRSHIRE    
2022-02-18, 02:52:35.2, 55.538, -5.020,   8.0,  1.1,   8,  0.3,      , ARRAN,NORTH AYRSHIRE    
2022-02-18, 04:29:11.8, 55.537, -5.018,   7.8,  0.6,   8,  0.3,      , ARRAN,NORTH AYRSHIRE    
2022-02-18, 22:15:42.1, 55.969, -6.402,   7.4,  1.0,   6,  0.4,      , COLONSAY,ARGYLL & BUTE  
2022-02-19, 06:31:49.5, 55.544, -5.024,   8.1,  1.3,  10,  0.4,      , ARRAN,NORTH AYRSHIRE    
2022-02-19, 19:23:43.6, 52.188, -3.037,   8.6,  1.0,   7,  0.1,      , KINGTON,HEREFORDSHIRE   
2022-02-21, 00:02:34.3, 56.657, -5.780,   7.4,  1.4,   5,  0.2,      , MORVERN,HIGHLAND        
2022-02-21, 22:59:29.5, 52.544, -1.936,   7.5,  2.8,  23,  0.5, 5    , WALSALL,WEST MIDLANDS   
2022-02-23, 01:54:18.8, 54.124, -1.804,   6.5,  2.2,  24,  0.3,      , RAMSGILL,N YORKSHIRE    
2022-02-23, 04:13:15.4, 54.124, -1.796,   6.6,  1.5,  12,  0.3,      , RAMSGILL,N YORKSHIRE    
2022-02-23, 16:58:40.6, 55.559, -5.052,   7.9,  1.1,   6,  0.2,      , ARRAN,NORTH AYRSHIRE    
2022-02-25, 01:09:27.0, 54.272, -2.351,   3.7,  1.6,  17,  0.3,      , COWGILL,CUMBRIA         
2022-02-25, 23:35:01.9, 51.334, -2.806,   9.7,  1.5,   9,  0.3,      , SANDFORD,SOMERSET       
2022-02-25, 23:37:15.0, 54.624, -2.417,   5.9,  1.1,  10,  0.3,      , DUFTON,CUMBRIA          
2022-02-26, 06:38:25.9, 54.633, -2.361,   5.5,  0.6,  10,  0.3,      , DUFTON,CUMBRIA          
2022-02-26, 23:37:59.7, 54.119, -1.807,   6.7,  0.9,  12,  0.3,      , RAMSGILL,N YORKSHIRE    
2022-03-05, 13:01:43.7, 50.377, -4.747,   4.6,  1.5,  19,  .10,      , BODELVA, CORNWALL       
2022-03-09, 21:22:35.6, 50.380, -4.741,   4.2,  1.7,  10,  .10, 3    , BODELVA, CORNWALL       
2022-03-11, 19:11:34.4, 56.393, -4.000,   2.0,  0.2,   3,  .20,      , COMRIE,PERTH & KINROSS  
2022-03-14, 20:59:45.4, 55.107, -3.659,   2.6,  0.6,   8,  .40,      , DUMFRIES,D & G          

